name,lon,lat,area_km2
Lake Naococane,-70.63482,52.82994,655
Ataturk Barajt,38.80534,37.65826,654
Beyşehir,31.50819,37.78955,653
,-99.36338,62.99889,651
Lynx Lake,-106.02657,62.32245,650
Siletitengiz Kli,73.28310,53.23292,649
Kiev Reservoir,30.49893,50.90774,648
,-101.65552,62.30052,648
Lake St. Joseph,-90.72993,51.05551,647
,-74.67555,60.59777,643
Lower Red Lake,-95.01816,47.98706,642
,140.34815,51.77405,638
,-102.82080,66.55776,634
,-94.97158,62.20897,632
,-134.17932,59.98269,630
,-115.50780,60.23084,623
Lake Srednye Kuyto,30.73835,65.03928,616
Lago de  Erepecu,-56.15732,-1.53352,616
Ayakkum Hu,89.35160,37.55435,614
,34.19095,48.76330,612
Toktogul Suu Saktagychy,72.95598,41.79585,612
,-68.22572,56.92425,605
Ngoring Hu,97.68877,34.93613,605
Buyr Nuur,117.71067,47.82310,605
Tathlina Lake,-117.52038,60.55670,605
Lake Taupo,175.93764,-38.80546,604
Ebinur Hu,82.94315,44.86444,601
,-107.85095,63.15196,601
Black Lake,-105.64366,59.09975,594
,24.07349,61.37842,594
Xinanjiang Shuiku,118.98872,29.60785,589
Paduskoye More,30.86778,68.39621,588
Shardara Bgeni,68.15726,41.13485,587
,-116.25784,63.01273,582
Ozero Krasnoye,174.69372,64.57006,581
Lake Kwania,32.71725,1.73995,578
,-108.82415,63.53346,578
Ozero Keta,89.95615,68.77918,575
,-155.90929,58.62626,574
Lake Diefenbaker,-106.89809,50.94645,574
,128.89194,-23.47484,573
,-103.65647,54.76950,572
Lac Bermen,-68.83828,53.73864,571
Mingevir Reservoir,46.61180,40.91570,565
Lac Île-à-la-Crosse,-107.76361,55.56752,560
Roseires Reservoir,34.46851,11.54699,558
Lake Natron,36.03705,-2.34818,558
Kostroma Reservoir,40.42115,57.74405,556
Lago Nahuel Huapí,-71.55184,-40.93740,554
,-98.46900,63.96294,553
,143.24061,-33.52443,552
,-65.31257,52.72397,551
,-95.88653,62.90337,551
Ozero Labaz,99.53500,72.30080,548
Gyaring Hu,97.25580,34.93069,546
Lake Payne,-74.29775,59.43297,545
Lake Balaton,17.82280,46.88334,545
,-97.65021,63.92938,545
Lokan Tekojarvi,27.64014,67.97173,539
Lake Geneva,6.25573,46.35834,533
,-97.45008,66.42956,532
Tehek Lake,-95.63404,64.90799,523
Ngangla Ringeo,83.03380,31.54771,523
,-117.27052,63.88552,522
Nam Ngum Reservoir,102.64280,18.60304,520
Kaptai Lake,92.29908,22.75505,519
Trout Lake,-93.25194,51.16590,518
,-99.78659,51.29203,518
,-77.45668,50.02583,515
,-64.55692,52.69262,512
Trout Lake,-121.14375,60.58687,510
,-100.42863,55.88132,509
Storsjön,14.40507,63.05556,507
Lac Upemba,26.39635,-8.61931,507
Hjälmaren,15.82894,59.23795,507
Chao Nen Dam,99.04050,14.71714,507
Bluenose Lake,-119.73419,68.50262,507
,-98.87338,63.75953,507
,-102.22736,54.59656,504
,-68.24311,53.70538,502
,-103.24484,55.24490,502
Lake Winnebago,-88.42326,44.02771,502
,135.04529,-18.26356,499
,-104.24053,61.41948,498
Sipiwesk Lac,-97.65354,55.08874,497
,-99.87164,63.99694,496
,-100.35553,56.33802,494
Kentucky Lake,-88.04625,36.48066,493
Gyaring Co,88.35856,31.15017,491
Mille Lacs Lake,-93.68014,46.24707,489
,-71.94780,55.97934,489
,139.85980,-25.08604,489
,-125.26714,66.84064,488
Lake Tahoe,-120.04606,39.09859,486
Grand Lake,-57.34133,49.00526,486
,133.48949,-17.78757,481
Upper Red Lake,-94.79912,48.12924,476
,84.11745,31.13427,475
Ogoki Reservoir,-88.15018,50.77660,472
